,City Name,City Number,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
90,Port Blair,1259385,11.6667,11.6667,82.22,86,100,17.25
91,Kousséri,2229798,12.0769,12.0769,76.96,83,75,18.41
92,Tomatlán,3981391,19.9333,19.9333,90.41,59,38,4.99
93,Sivaganga,1255953,9.8667,9.8667,86.41,68,92,5.37
94,Tasiilaq,3424607,65.6145,65.6145,46.56,87,66,5.1
95,Kota,1266049,25.1833,25.1833,84.02,81,75,9.95
96,Ukiah,5404476,39.1502,39.1502,79.95,40,1,4.61
97,Sohag,347796,26.557,26.557,91.69,20,0,8.19
98,Labuhan,8079926,-6.8844,-6.8844,74.55,81,11,4.83
99,Puerto del Rosario,2512186,28.5004,28.5004,76.75,73,0,14.97
100,Nikolskoye,546105,59.7035,59.7035,69.73,64,51,2.42
101,Arraial do Cabo,3471451,-22.9661,-22.9661,75.06,69,0,19.57
102,Belaya Gora,2126785,68.5333,68.5333,46.67,67,63,8.72
103,Bonthe,2409914,7.5264,7.5264,78.6,77,90,8.79
104,Ahipara,2194098,-35.1667,-35.1667,57.0,93,71,8.72
105,Bubaque,2374583,11.2833,11.2833,79.34,79,98,6.49
106,Shimoda,1852357,34.6667,34.6667,73.11,87,6,7.67
107,Egvekinot,4031742,66.3167,66.3167,44.28,91,100,1.66
108,Barrow,5880054,71.2906,71.2906,42.82,91,90,11.5
109,Mahébourg,934322,-20.4081,-20.4081,71.89,60,40,11.5
110,Praia,3374333,14.9215,14.9215,81.14,57,20,16.11
111,Khatanga,2022572,71.9667,71.9667,50.34,83,54,7.25
112,Emerald,2167426,-23.5333,-23.5333,45.99,52,20,8.05
113,Tessalit,2449893,20.1986,20.1986,94.1,28,70,12.59
114,Khandyga,2022773,62.6667,62.6667,53.56,96,76,1.43
115,Codrington,2171099,-38.2667,-38.2667,49.68,92,98,15.17
116,Garden City,4993659,42.3256,42.3256,85.78,44,20,11.5
117,Klaksvík,2618795,62.2266,62.2266,52.72,96,100,12.55
118,Francistown,933778,-21.17,-21.17,50.83,55,2,9.04
119,Aklavik,5882953,68.2191,68.2191,55.4,76,75,17.27
120,Bayir,304183,37.2687,37.2687,73.92,55,70,4.34
121,Upernavik,3418910,72.7868,72.7868,41.0,82,47,11.56
122,Ancud,3899695,-41.8697,-41.8697,44.13,61,17,10.31
123,Siilinjärvi,636947,63.0833,63.0833,75.22,43,0,3.44
124,Ketchikan,5554428,55.3422,55.3422,57.67,88,90,0.0
125,George Town,1735106,5.4112,5.4112,83.3,83,20,2.3
126,Rocha,3440777,-34.4833,-34.4833,72.52,71,71,12.88
127,Khani,610864,41.9563,41.9563,65.77,97,56,2.33
128,Lovozero,533933,68.005,68.005,48.97,68,92,11.65
129,Tete,1026014,-16.1564,-16.1564,68.14,59,75,5.01
130,Kawalu,1640902,-7.3817,-7.3817,66.78,97,7,0.94
131,Worthington,5177396,40.0931,40.0931,84.09,71,40,1.01
132,Hermanus,3366880,-34.4187,-34.4187,51.8,55,100,7.9
133,Naze,1855540,28.3667,28.3667,77.97,88,100,18.72
134,Kruisfontein,986717,-34.0033,-34.0033,53.71,45,59,3.13
135,Saint-Philippe,935215,-21.3585,-21.3585,69.39,77,37,11.39
136,Qaqortoq,3420846,60.7167,60.7167,48.04,61,99,5.32
137,Matara,1235846,5.9485,5.9485,77.68,88,68,10.4
138,Bambous Virieux,1106677,-20.3428,-20.3428,71.85,60,40,11.5
139,Sisimiut,3419842,66.9395,66.9395,43.95,81,100,5.55
140,Laas,3175096,46.6166,46.6166,69.03,84,70,4.05
141,Presidencia Roque Sáenz Peña,3840300,-26.7852,-26.7852,91.22,28,53,8.77
142,Manggar,1636426,-2.8833,-2.8833,81.43,72,0,14.09
143,Tsiroanomandidy,1054463,-18.7667,-18.7667,63.72,57,94,6.02
144,Berlevåg,780687,70.8578,70.8578,46.4,83,100,18.75
145,Prince Rupert,6113406,54.3161,54.3161,56.34,91,90,2.3
146,Imbituba,3461370,-28.24,-28.24,70.83,55,64,13.58
147,Airai,1651810,-8.9266,-8.9266,55.54,51,40,3.06
148,Saldanha,3361934,-33.0117,-33.0117,60.85,54,100,11.3
149,Zhezkazgan,1516589,47.8043,47.8043,82.78,39,1,17.94
150,Touros,3386213,-5.1989,-5.1989,85.1,60,14,18.21
151,Iqaluit,5983720,63.7506,63.7506,45.7,93,90,4.0
